product_category,product_subcategory,ID Odoo,Producto Odoo,EAN,Marca,Peso,Mix Actual,Mercadito - Bruto,Mercadito - Neto,Coto - Bruto,Carrefour - Bruto,Dia - Bruto,Coto - Neto,Carrefour - Neto,Dia - Neto,El almacencito  - Neto,Consignatario Día - Neto,Distribuidora Cervantes - Neto,Satelite - Neto,Satelite - Neto en cantidad,Ideal - Neto,Ideal - Neto en cantidad,Verdulería TATO - Neto,Verdulería Don José - Neto
ALMACEN,0101 - ACEITE,3681,Aceite ARCOR Maiz 890 ml,7790580160807,ARCOR,0.89,0.00%,"5,678","5,678","5,678",,,"5,678",,,,,,,,,,,
ALMACEN,0101 - ACEITE,2690,"Aceite CAÃ‘UELAS Girasol 1,5 lt",7792180001665,CAÃ‘UELAS,1.5,0.00%,"4,900","4,900","5,124","5,119",,"5,124","5,119",,4400,,3560,,,4399.99,4399.99,,
ALMACEN,0101 - ACEITE,3138,Aceite CAÃ‘UELAS Oliva Clasico PET 500 ml,7792180005182,CAÃ‘UELAS,0.5,0.00%,"14,773","14,773","14,773",,,"14,773",,,,,,,,,,,
ALMACEN,0101 - ACEITE,5913,"Aceite COCINERO Girasol 1,5 lt",7790070231826,COCINERO,1.5,0.00%,"4,495","4,495",,,,,,,,5069,,,,,,,
ALMACEN,0101 - ACEITE,2691,Aceite COCINERO Girasol 900 ml,7790070231819,COCINERO,0.9,0.00%,"2,817","2,817",,"1,649",,,"1,649",,3200,3205,,,,5100,4590,,
ALMACEN,0101 - ACEITE,,Aceite MARCA BLANCA Girasol 900 ml (Prados del sol),,MARCA BLANCA,0.9,,,,,,,,,,,1999,1500,1500,1275,1999.99,1999.99,,
ALMACEN,0101 - ACEITE,6254,Aceite EL PRIMORDIAL Girasol 900 ml,,EL PRIMORDIAL,0.9,1.70%,"3,148","2,653","3,205","3,090",,"3,205","2,905",,,,,,,,,,
ALMACEN,0101 - ACEITE,4098,Aceite en aerosol MOLTO Girasol 120 ml,7798138552821,MOLTO,0.12,0.00%,"3,075","3,075","3,600","2,549",,"3,600","2,549",,,,,,,,,,
ALMACEN,0101 - ACEITE,5915,Aceite LEGITIMO Girasol 900 ml,7798316700808,LEGITIMO,0.9,0.00%,"3,080","3,080","3,109","3,050",,"3,109","3,050",,,3050,,,,2600,2600,,
ALMACEN,0101 - ACEITE,2694,Aceite MAROLIO Girasol 900 ml,7797470005514,MAROLIO,0.9,0.70%,"2,619","2,567","3,109","1,260",,"3,109","1,260",,4500,,,,,,,,
ALMACEN,0101 - ACEITE,6253,Aceite MAROLIO Mezcla 900 ml,,MAROLIO,0.9,0.30%,"3,090","2,905","3,205","2,975",,"3,205","2,905",,2300,,,,,,,,
ALMACEN,0101 - ACEITE,2696,Aceite MAROLIO Oliva 250 ml,7797470009987,MAROLIO,0.25,0.10%,"5,470","5,470","6,090","3,290",,"4,568","2,961",,,,,,,,,,
ALMACEN,0101 - ACEITE,3992,Aceite MAROLIO Oliva 500 ml,,MAROLIO,0.5,0.00%,"9,774","9,774","6,430","5,990",,"6,430","5,451",,,,,,,,,,
ALMACEN,0101 - ACEITE,3154,Aceite MOLTO Girasol 900 ml,7798138552616,MOLTO,0.9,0.10%,"2,700","2,700","4,039","3,148",,"4,039","3,114",,,,,,,,,,
ALMACEN,0101 - ACEITE,5912,"Aceite NATURA Girasol 1,5 lt",7790272001029,NATURA,1.5,0.00%,"5,475","5,475","5,475","5,475",,"5,475","5,475",,,,,,,,,,
ALMACEN,0101 - ACEITE,,Aceite LIRA Girasol 900 ml,,LIRA,0.9,,,,,,,,,,,,,,,3400,3060,,
ALMACEN,0102 - ARROZ,4421,Arroz GALLO Doble carolina 500 gr,7790070431431,GALLO,0.5,0.00%,"2,033","2,033","2,250","2,200",,"2,250","2,200",,,,,,,,,,
ALMACEN,0102 - ARROZ,4422,Arroz GALLO Largo fino 500 gr,7790070433114,GALLO,0.5,0.00%,"1,196","1,196","1,379","1,345",,"1,379","1,345",,,1195,,,,,,,
ALMACEN,0102 - ARROZ,4423,Arroz GALLO Oro parboil 1 kg,7790070433121,GALLO,1,0.00%,"2,354","2,354",,"3,400",,,"3,400",,2500,2500,,,,,,,
ALMACEN,0102 - ARROZ,5853,Arroz GALLO Oro parboil 500 gr,7790070433114,GALLO,0.5,0.00%,"1,362","1,362","1,379","1,345",,"1,379","1,345",,,1345,,,,,,,
ALMACEN,0102 - ARROZ,6075,Arroz MAROLIO Doble 1 kg,7797470000793,MAROLIO,1,0.00%,"2,499","1,941","2,499","1,380","3,250","2,174","1,380","2,270",,,,,,,,,
ALMACEN,0102 - ARROZ,3961,Arroz MAROLIO Largo fino 1 kg,7797470000601,MAROLIO,1,0.80%,"1,299","1,079","1,299","1,079","1,790","1,299","1,079","1,164",,,1600,,,,,,
ALMACEN,0102 - ARROZ,4101,Arroz MAROLIO Largo fino 500 gr,7797470003701,MAROLIO,0.5,0.50%,949,651,949,559,"1,050",712,559,683,,,840,,,,,,
ALMACEN,0102 - ARROZ,6076,Arroz MAROLIO Parboil 1 kg,7797470000786,MAROLIO,1,0.00%,"1,890","1,590","1,799","1,890","2,100","1,499","1,401","1,450",1900,,,,,,,,
ALMACEN,0102 - ARROZ,3518,Arroz MOLINOS ALA Integral 1 kg,7791120098888,MOLINOS ALA,1,0.00%,"2,250","2,017","2,250","2,250","2,250","2,250","2,250","1,550",1600,1550,,,,,,,
ALMACEN,0102 - ARROZ,3153,Arroz MOLINOS ALA largo fino 1 KG,,MOLINOS ALA,1,,,,,,,,,,1600,1450,1299,,,950,950,,
ALMACEN,0102 - ARROZ,5595,Arroz MOLINOS ALA Parboil 500 gr,7791120101601,MOLINOS ALA,0.5,0.10%,975,975,,"1,450",,,"1,450",,,,600,,,,,,
ALMACEN,0102 - ARROZ,5594,Arroz MOLTO Integral 500 gr,7798138553095,MOLTO,0.5,0.00%,"1,410","1,325","1,410","1,810","1,120","1,410","1,810",756,,,,,,,,,
